Time: 0 | Reset: 1 | PC: xxxxx | inc_pc: x | Instruction: xxxxxxxx | Opcode: xxx | inA: xxxxxxxx | inB: xxxxxxxx | alu_out: xxxxxxxx | is_zero: x | Accumulator: xxxxxxxx | Data Out: xxxxxxxx | Halt: x
Time: 555 | Reset: 0 | PC: 00111 | inc_pc: 0 | Instruction: 10010101 | Opcode: 101 | inA: 10100000 | inB: 10010101 | alu_out: 10010101 | is_zero: 0 | Accumulator: 10100000 | Data Out: 10010101 | Halt: 0
Time: 565 | Reset: 0 | PC: 00111 | inc_pc: 0 | Instruction: 10010101 | Opcode: 101 | inA: 10010101 | inB: 10010101 | alu_out: 10010101 | is_zero: 0 | Accumulator: 10010101 | Data Out: 10010101 | Halt: 0
Time: 585 | Reset: 0 | PC: 00111 | inc_pc: 0 | Instruction: 11000000 | Opcode: 101 | inA: 10010101 | inB: 11000000 | alu_out: 11000000 | is_zero: 0 | Accumulator: 10010101 | Data Out: 11000000 | Halt: 0
Time: 595 | Reset: 0 | PC: 00111 | inc_pc: 0 | Instruction: 11000000 | Opcode: 101 | inA: 11000000 | inB: 11000000 | alu_out: 11000000 | is_zero: 0 | Accumulator: 11000000 | Data Out: 11000000 | Halt: 0
Time: 605 | Reset: 0 | PC: 00111 | inc_pc: 0 | Instruction: 11000000 | Opcode: 110 | inA: 11000000 | inB: 11000000 | alu_out: 11000000 | is_zero: 0 | Accumulator: 11000000 | Data Out: 11000000 | Halt: 0
Time: 615 | Reset: 0 | PC: 00111 | inc_pc: 1 | Instruction: 11000000 | Opcode: 110 | inA: 11000000 | inB: 11000000 | alu_out: 11000000 | is_zero: 0 | Accumulator: 11000000 | Data Out: 11000000 | Halt: 0
Time: 625 | Reset: 0 | PC: 01000 | inc_pc: 0 | Instruction: 10010101 | Opcode: 110 | inA: 11000000 | inB: 11000000 | alu_out: 11000000 | is_zero: 0 | Accumulator: 11000000 | Data Out: 11000000 | Halt: 0
Time: 655 | Reset: 0 | PC: 01000 | inc_pc: 0 | Instruction: zzzzzzzz | Opcode: 110 | inA: 11000000 | inB: 11000000 | alu_out: 11000000 | is_zero: 0 | Accumulator: 11000000 | Data Out: 11000000 | Halt: 0
Time: 675 | Reset: 0 | PC: 01000 | inc_pc: 0 | Instruction: zzzzzzzz | Opcode: 110 | inA: 11000000 | inB: zzzzzzzz | alu_out: 11000000 | is_zero: 0 | Accumulator: 11000000 | Data Out: zzzzzzzz | Halt: 0
Time: 685 | Reset: 0 | PC: 01000 | inc_pc: 0 | Instruction: zzzzzzzz | Opcode: zzz | inA: 11000000 | inB: zzzzzzzz | alu_out: 00000000 | is_zero: 0 | Accumulator: 11000000 | Data Out: zzzzzzzz | Halt: 0
Time: 695 | Reset: 0 | PC: 01000 | inc_pc: 1 | Instruction: zzzzzzzz | Opcode: zzz | inA: 11000000 | inB: zzzzzzzz | alu_out: 00000000 | is_zero: 0 | Accumulator: 11000000 | Data Out: zzzzzzzz | Halt: x
Time: 705 | Reset: 0 | PC: 01001 | inc_pc: 0 | Instruction: xxxxxxxx | Opcode: zzz | inA: 11000000 | inB: zzzzzzzz | alu_out: 00000000 | is_zero: 0 | Accumulator: 11000000 | Data Out: zzzzzzzz | Halt: x
